trial_id,fold_id,year,aggregate_observations,mean_net_return,hac_t
T0016,F07,2023,4516,-0.0022695132587680846,-1.2586547659836103
T0016,F08,2023,4968,-0.0011272384351674008,-0.9519560651064487
T0017,F01,2020,14941,-0.0029596556967505707,-22.18737909118258
T0017,F02,2020,15472,-0.0026697187535453153,-19.07710424468985
T0017,F03,2021,14381,-0.00232126686070062,-10.561171464769735
T0017,F04,2021,14715,-0.002799457456288392,-17.730638068778703
T0017,F05,2022,13528,-0.003485657895102505,-19.868342396790574
T0017,F06,2022,14665,-0.0031584820090366918,-23.590142952321028
T0017,F07,2023,14655,-0.002953120215215871,-22.090863857459592
T0017,F08,2023,15770,-0.002869890204079045,-29.371196864847427
T0018,F01,2020,11432,-0.0027292635256972097,-6.486811989149546
T0018,F02,2020,11901,-0.0024115214597042276,-5.671378191431257
T0018,F03,2021,10851,-0.0012296322900843116,-1.8294164629993543
T0018,F04,2021,10929,-0.0024553405945138542,-5.197106134701713
T0018,F05,2022,10256,-0.004098823292350714,-7.0644469501975795
T0018,F06,2022,11092,-0.003419803023059349,-8.19072349994457
T0018,F07,2023,11041,-0.0027669335245236798,-6.428772248680088
T0018,F08,2023,12050,-0.0027112841385692438,-8.671468172722989
T0019,F01,2020,6675,-0.001766384456854255,-1.6766243731937194
T0019,F02,2020,7024,-0.0013570104745100064,-1.2989836084308608
T0019,F03,2021,6330,0.0015060191623108457,0.9090443002290984
T0019,F04,2021,6261,-0.0020309628524634578,-1.686190771781134
T0019,F05,2022,5808,-0.007878414278966683,-5.529584725817345
T0019,F06,2022,6458,-0.0048321789935746205,-5.068359306262702
T0019,F07,2023,6649,-0.001771605299750156,-1.7093546403292583
T0019,F08,2023,7191,-0.0021446732092525495,-3.148555622549019
T0020,F01,2020,4250,0.0005698008404263731,0.2885731027692019
T0020,F02,2020,4638,0.0003599041873419478,0.1890172669245292
T0020,F03,2021,3997,0.004680742166974135,1.4692840082508805
T0020,F04,2021,3958,-0.0009965764190750976,-0.4769947593141873
T0020,F05,2022,3830,-0.01116099282807107,-4.522830865614015
T0020,F06,2022,4177,-0.006295574746111551,-3.632174208065619
T0020,F07,2023,4313,-0.0013298039632147565,-0.7037495589708221
T0020,F08,2023,4844,-0.0007066637557097728,-0.5953142333048895
T0021,F01,2020,13850,-0.0028281647648315204,-21.16293222205621
T0021,F02,2020,15006,-0.002793653475117477,-19.838563653940117
T0021,F03,2021,13569,-0.0026186664512946865,-11.6980612346745
T0021,F04,2021,14120,-0.0029086910375738396,-17.97802963885086
T0021,F05,2022,12408,-0.003255708993425109,-18.655710004309853
T0021,F06,2022,14347,-0.003152457130813399,-24.691379929345306
T0021,F07,2023,13981,-0.0029349362753767058,-21.162688740974996
T0021,F08,2023,15821,-0.0029437994539001375,-29.52851100320226
T0022,F01,2020,10673,-0.0023261662958858243,-5.384863536006707
T0022,F02,2020,11392,-0.0020786812797666024,-4.590774810992118
T0022,F03,2021,10031,-0.001952750235147233,-2.823622172711348
T0022,F04,2021,10709,-0.002652306822234818,-5.331851503713296
T0022,F05,2022,9094,-0.0041099774280273504,-7.266245433186029
T0022,F06,2022,10601,-0.003386427063284321,-8.41620708468852
T0022,F07,2023,10525,-0.0027113842454824437,-5.839896283535252
T0022,F08,2023,11676,-0.0026350879122469363,-8.065115152096238
T0023,F01,2020,6272,-0.0005889420373507237,-0.5628303401496817
T0023,F02,2020,6557,-0.00020695991599749332,-0.1885618157975076
T0023,F03,2021,5872,0.0004607445008918685,0.2690863272171768
T0023,F04,2021,6144,-0.0027206256133491258,-2.2999256037995774
T0023,F05,2022,5237,-0.005605340708776062,-4.051001464281452
T0023,F06,2022,6221,-0.004236707221819169,-4.408040830931922
T0023,F07,2023,6094,-0.001710384368901323,-1.6262836656944213
T0023,F08,2023,6796,-0.0012950161089349318,-1.7052971073707592
T0024,F01,2020,3836,0.001155344175970932,0.6141007239650151
T0024,F02,2020,4037,0.002045539308294902,0.9896811611362705
T0024,F03,2021,3553,0.004110505259577341,1.2392404877766643
T0024,F04,2021,3789,-0.003491803853480492,-1.6466291428782478
T0024,F05,2022,3382,-0.0077588009760305035,-3.1441785008911003
T0024,F06,2022,3938,-0.005879836610418953,-3.327353805203997
T0024,F07,2023,3767,-0.000829059935637618,-0.4465659083928298
T0024,F08,2023,4284,2.917343099973547e-05,0.02302278337907749
T0025,F01,2020,15362,-0.002988660776968041,-21.27159905926874
T0025,F02,2020,15609,-0.002902088598933421,-20.255752995431482
T0025,F03,2021,14356,-0.002934900819652288,-13.339647378900544
T0025,F04,2021,14758,-0.0031854745088778806,-19.988505979796404
T0025,F05,2022,13850,-0.003497178634508467,-18.939335187702092
T0025,F06,2022,14977,-0.0033123562942288364,-25.1954402568394
T0025,F07,2023,14947,-0.0030075600552003,-24.09553026463959
T0025,F08,2023,15876,-0.003001880583828515,-30.566558029783838
T0026,F01,2020,11580,-0.0025687174379906245,-6.064441497136898
T0026,F02,2020,11795,-0.0028397740315535824,-6.377100278387732
T0026,F03,2021,10176,-0.002185779939549766,-3.1107243492628127
T0026,F04,2021,10416,-0.003372862019770936,-6.775392247835126
T0026,F05,2022,9625,-0.00449693175797482,-7.219136356638055
T0026,F06,2022,10904,-0.0035162403733570934,-8.418906088683531
T0026,F07,2023,10948,-0.002867418386072187,-6.7608966736959175
T0026,F08,2023,12151,-0.0026136311402191054,-8.33948573919441
T0027,F01,2020,6784,-0.002042109734950653,-1.8925983101929433
T0027,F02,2020,7250,-0.0022125895792031694,-2.1101575124059684
T0027,F03,2021,5991,-0.0002934101403721375,-0.17344001740519202
T0027,F04,2021,6136,-0.0035349597643887444,-2.8830792890797867
T0027,F05,2022,5773,-0.0066409068446905304,-4.752252868337095
T0027,F06,2022,6626,-0.004801254392967529,-4.874806545009965
T0027,F07,2023,6795,-0.0026364838175915776,-2.5934386022917977
T0027,F08,2023,7558,-0.0020552561928394975,-2.9152941778098675
T0028,F01,2020,4511,-0.0009032950996870321,-0.4589087902348955
T0028,F02,2020,4822,0.00020848138184548345,0.11035305365074852
T0028,F03,2021,3887,0.003588229593986681,1.170058959360323
T0028,F04,2021,4236,-0.0022068778051843453,-1.0627355799600422
T0028,F05,2022,3968,-0.011145149118647947,-4.279548667494795
T0028,F06,2022,4464,-0.006144322616133373,-3.519840165242211
T0028,F07,2023,4544,-0.0023191638628170786,-1.2807112511709131
T0028,F08,2023,5130,-0.0007781598821403088,-0.6713274781614575
T0029,F01,2020,14208,-0.003090480186547882,-20.299900969276692
T0029,F02,2020,14486,-0.003251898366408586,-20.776791446456183
T0029,F03,2021,13480,-0.0029588038967112637,-13.024457220045578
T0029,F04,2021,13697,-0.0031948011997379074,-18.686734166866387
T0029,F05,2022,12752,-0.003541301391909829,-17.81292286255118
T0029,F06,2022,13809,-0.003333817186420057,-23.44690714662826
T0029,F07,2023,13471,-0.0030215554624527137,-21.684434986499536
T0029,F08,2023,14354,-0.0030965301501094424,-29.078010057659963
T0030,F01,2020,10229,-0.0029301885161394634,-6.431615274198644
T0030,F02,2020,10610,-0.0034351188029581176,-7.188705775293806
T0030,F03,2021,9820,-0.0023115575846645335,-3.298637232954327
T0030,F04,2021,9729,-0.0033781490567260167,-6.511677411039656
T0030,F05,2022,8905,-0.004791709464524222,-7.727257641714482
T0030,F06,2022,9806,-0.003942047647068292,-8.887758478516064
T0030,F07,2023,9514,-0.003162937041068591,-6.997366762342989
T0030,F08,2023,10341,-0.0029564755377371153,-8.377021916842857
T0031,F01,2020,6562,-0.0021512299277177366,-1.9185638886348073
T0031,F02,2020,6877,-0.0025550798183310817,-2.3933046010089645
T0031,F03,2021,6145,-0.0002900053930454429,-0.1732279835294511
T0031,F04,2021,6155,-0.0030499185528238206,-2.5449327627781124
T0031,F05,2022,5501,-0.007426184078576902,-5.0042199761739745
T0031,F06,2022,6055,-0.004612910353529885,-4.578612111667514
T0031,F07,2023,6133,-0.0021404047201179616,-2.0381760824710473
T0031,F08,2023,6667,-0.002845928992697253,-3.798275329665943
T0032,F01,2020,4394,0.0004954713675124065,0.23610387695618937
T0032,F02,2020,4773,0.00033182216593946156,0.17475601575115274
T0032,F03,2021,4174,0.003972686888802753,1.2825330834361368
T0032,F04,2021,4307,-0.0021051814860993923,-0.984253412563875
T0032,F05,2022,3833,-0.01019638999139167,-4.051367746205902
T0032,F06,2022,4214,-0.005714680156658236,-3.2121925014655903
T0032,F07,2023,4123,-0.001955988852823248,-1.018432980717395
T0032,F08,2023,4511,-0.0016390390594951795,-1.3223084330216188
T0033,F01,2020,14282,-0.003245470142935771,-21.197168840503405
T0033,F02,2020,14135,-0.002928259944502203,-19.916473220030444
T0033,F03,2021,12557,-0.003210152593681984,-14.16235943363202
T0033,F04,2021,12792,-0.003256659125804057,-19.425675729186015
T0033,F05,2022,12131,-0.003621441810846344,-18.130447680242316
T0033,F06,2022,13188,-0.0034611278819252096,-25.056045278010416
T0033,F07,2023,13074,-0.003210680308111395,-24.035989087426838
T0033,F08,2023,14059,-0.0030896433028444878,-29.192582436626235
T0034,F01,2020,11210,-0.002978224277027346,-6.409399925638236
T0034,F02,2020,11163,-0.003008416308269046,-6.410025351807352
T0034,F03,2021,9413,-0.0031021472473324956,-4.618171835857874
T0034,F04,2021,9687,-0.0035172970923886223,-6.725455586562237
T0034,F05,2022,9307,-0.004364753122934315,-6.338025350889746
T0034,F06,2022,10110,-0.004030669231313957,-9.96773016366065
T0034,F07,2023,10053,-0.0030954484726633674,-7.342890552988112
T0034,F08,2023,10980,-0.0030992314241220895,-9.64505145699539
T0035,F01,2020,7296,-0.002200142015912783,-1.9784349493877358
T0035,F02,2020,7405,-0.0020223233595813165,-1.8723252708133817
T0035,F03,2021,6219,-0.000990048470740598,-0.5829016757996981
T0035,F04,2021,6484,-0.003272716962497247,-2.5706954346635955
T0035,F05,2022,6323,-0.0077928380281163095,-5.137099996635709
T0035,F06,2022,6724,-0.004278112834672929,-4.428672806470974
T0035,F07,2023,6779,-0.0032021495772258965,-3.1025348181902914
T0035,F08,2023,7488,-0.00226456050804681,-3.2987153845038404
T0036,F01,2020,4740,-0.0008859015344101026,-0.44568507780877825
T0036,F02,2020,5120,-0.00024201119964341184,-0.13124380662491844
T0036,F03,2021,4135,0.004962010853513732,1.6149876592557375
T0036,F04,2021,4506,-0.001428933539336794,-0.6961504388101538
T0036,F05,2022,4352,-0.011433128820874572,-4.531489391044814
T0036,F06,2022,4706,-0.005452813785510797,-3.130564284633631
T0036,F07,2023,4652,-0.0019267964149663815,-1.1135974048648543
T0036,F08,2023,5063,-0.0007033738829450856,-0.5797904755263121
T0037,F01,2020,8529,-0.002754192920396847,-14.49587620119495
T0037,F02,2020,8913,-0.002903536463350225,-14.026779545694488
T0037,F03,2021,8447,-0.0032097414696763108,-11.906328142049551
T0037,F04,2021,8065,-0.00395781171128086,-16.834265020086818
T0037,F05,2022,6415,-0.0035110197495737423,-13.697097866373369
T0037,F06,2022,6866,-0.0041035524931875705,-18.112976230907357
T0037,F07,2023,7130,-0.0034447172970196267,-17.442132635586542
T0037,F08,2023,8148,-0.0033938665983681286,-19.504373122030756
T0038,F01,2020,7074,-0.003247833130139359,-6.808618111630094
T0038,F02,2020,7374,-0.003528863790702735,-6.58425127014044
T0038,F03,2021,6968,-0.0037749567719909025,-4.956045005882056
T0038,F04,2021,6497,-0.004123531444673992,-6.5925893879074655
T0038,F05,2022,5205,-0.005318423487689621,-7.8791795951451435
T0038,F06,2022,5740,-0.005067034195047498,-9.521762201972846
T0038,F07,2023,5941,-0.003660754973749621,-6.7833598800138715
T0038,F08,2023,6779,-0.0034798182957845275,-8.73925407152111
T0039,F01,2020,5127,-0.0033447781124750007,-2.889698586200277
T0039,F02,2020,5373,-0.00377249103765699,-3.101278385791306
T0039,F03,2021,4971,-0.0012985690452780644,-0.7342260376101241
T0039,F04,2021,4663,-0.004712770489633242,-3.4696481846325047
T0039,F05,2022,3770,-0.009397780014490702,-5.98758518747195
T0039,F06,2022,4200,-0.007219715284234856,-6.338510473637569
T0039,F07,2023,4349,-0.003694899484835433,-3.1451094209937684
T0039,F08,2023,5003,-0.0031903258208343848,-3.8705723603764826
T0040,F01,2020,3615,-0.00013543537171069314,-0.06422396314997666
T0040,F02,2020,3862,-0.000824049417301328,-0.40758651010044794
T0040,F03,2021,3493,0.0028859764341567307,0.8205793126373984
T0040,F04,2021,3348,-0.0029156761714398153,-1.2647954059334885
T0040,F05,2022,2879,-0.013036872114470273,-4.652799830372456
T0040,F06,2022,3074,-0.00796868415939652,-4.048817833518826
T0040,F07,2023,3196,-0.0020286089228549477,-0.9968086673952705
T0040,F08,2023,3697,-0.0016152527190493608,-1.1937907971488064
T0041,F01,2020,6055,-0.0026521124414027905,-10.725739708571009
T0041,F02,2020,6690,-0.002865182020160096,-11.763592851952852
T0041,F03,2021,6549,-0.002706254913415026,-8.21833914221784
T0041,F04,2021,6199,-0.0034911554858223235,-12.721909007036988
T0041,F05,2022,4646,-0.0036096189500600664,-12.21512461531658
T0041,F06,2022,4722,-0.004237419417075829,-13.499229702012792
T0041,F07,2023,4992,-0.0035581202813201383,-12.911376934833337
T0041,F08,2023,5941,-0.003590780648932039,-15.649026222423537
T0042,F01,2020,5007,-0.003074666286579325,-5.6290904077192945
T0042,F02,2020,5468,-0.003250372518753345,-5.496119807483674
T0042,F03,2021,5355,-0.002663052354529912,-3.249997108252779
T0042,F04,2021,5036,-0.003500158811363644,-5.313232888257309
T0042,F05,2022,3850,-0.0054876073471443925,-7.628003892045161
T0042,F06,2022,4001,-0.005699323568788457,-8.076267293300736
T0042,F07,2023,4141,-0.0038421236092174805,-5.965397198646804
T0042,F08,2023,4932,-0.0036912222602008098,-7.341356082676667
T0043,F01,2020,3896,-0.0021801987794328862,-1.7972526329046354
T0043,F02,2020,4227,-0.002457837326647022,-1.9179729912649957
T0043,F03,2021,4053,0.00012460247275945387,0.07024697375812995
T0043,F04,2021,3783,-0.0033578807531818165,-2.38511843778218
T0043,F05,2022,3016,-0.010382047117862576,-6.377787367162992
T0043,F06,2022,3154,-0.006740254721083665,-5.2134217922628165
T0043,F07,2023,3262,-0.0036041577648861125,-2.6612255005164576
T0043,F08,2023,3848,-0.0032724965803094374,-3.3040015598995036
T0044,F01,2020,2897,0.0007594592499428,0.3419353183218218
T0044,F02,2020,3220,-0.00018542622365637726,-0.08579322054625946
T0044,F03,2021,2982,0.0038403095029258313,1.2373547474860516
T0044,F04,2021,2802,-0.002781799080179193,-1.139188595424588
T0044,F05,2022,2314,-0.013702581012844713,-4.676244654389938
T0044,F06,2022,2509,-0.007446613673912472,-3.43596888564181
T0044,F07,2023,2548,-0.0012692934101762893,-0.5457737928521106
T0044,F08,2023,2986,-0.0018734872980072004,-1.2312733935977593
T0045,F01,2020,5703,-0.0026243056363370364,-10.356074433007946
T0045,F02,2020,6380,-0.002943340594385455,-11.855131541652769
T0045,F03,2021,6267,-0.0026810071945778183,-8.080714706735433
T0045,F04,2021,5941,-0.0035796956720362334,-12.70521384445671
T0045,F05,2022,4365,-0.0036116299081002117,-11.714325416854441
T0045,F06,2022,4422,-0.004228471737374975,-12.642114184945779
T0045,F07,2023,4724,-0.003613345783910865,-12.638429722241547
T0045,F08,2023,5622,-0.0035740865780518093,-14.908111334498283
T0046,F01,2020,4676,-0.0030229572879161937,-5.396831123423081
T0046,F02,2020,5200,-0.0034395720628963866,-5.6330741014089725
T0046,F03,2021,5122,-0.002317362747289404,-2.8332937245224508
T0046,F04,2021,4807,-0.00353676532075741,-5.078987066154174
T0046,F05,2022,3628,-0.00574547536832496,-7.781605999707868
T0046,F06,2022,3751,-0.005634161563884187,-7.7652043389237
T0046,F07,2023,3909,-0.003844685583311503,-5.798626900537797
T0046,F08,2023,4659,-0.003580681314245328,-6.964234035700649
T0047,F01,2020,3635,-0.0016655156405480463,-1.3900350144317746
T0047,F02,2020,4042,-0.0024983821619231745,-1.9411619405870406
T0047,F03,2021,3891,0.0001900339207472383,0.1045775337165528
T0047,F04,2021,3626,-0.0036335653427099998,-2.4610082389101824
T0047,F05,2022,2861,-0.010103554753726053,-6.229946634703916
T0047,F06,2022,3000,-0.0064776835874807035,-5.114930511689579
T0047,F07,2023,3098,-0.0038419174528433455,-2.8209063131933676
T0047,F08,2023,3649,-0.0033743184030455577,-3.201533831269602
T0048,F01,2020,2743,0.0008248043427149391,0.3772761492383731
T0048,F02,2020,3114,-0.0005265370872742425,-0.24347455319088943
T0048,F03,2021,2885,0.00372964548055221,1.207161035066365
T0048,F04,2021,2725,-0.0028719420668848663,-1.158105316491843
T0048,F05,2022,2242,-0.014444617097101922,-5.2330692527673595
T0048,F06,2022,2415,-0.007571419489214049,-3.5505374682390465
T0048,F07,2023,2444,-0.001648451807859844,-0.7010950614461561
T0048,F08,2023,2881,-0.0020145994245056665,-1.2537532137607112
T0049,F01,2020,15699,-0.0030983058033681016,-21.91212580345155
T0049,F02,2020,15678,-0.003009390994522437,-21.550093118056672
T0049,F03,2021,13978,-0.002918345045621056,-12.957847494165913
T0049,F04,2021,14340,-0.003216265019015853,-20.642572362757612
T0049,F05,2022,13719,-0.003514238979567796,-18.565146996462957
T0049,F06,2022,14886,-0.0032811907134692063,-25.20087685198618
T0049,F07,2023,14752,-0.003040360696297351,-24.11324738764269
T0049,F08,2023,15706,-0.0030972370113694727,-30.774637298688496
T0050,F01,2020,11842,-0.0026576917314335936,-6.220775821760464
T0050,F02,2020,11496,-0.002740309499040301,-6.169867486623552
T0050,F03,2021,9665,-0.0017089220803151938,-2.4408137621498502
T0050,F04,2021,9834,-0.0032199195971264714,-6.326812510476844
T0050,F05,2022,9382,-0.00437250960189419,-6.362077829715493
T0050,F06,2022,10545,-0.003842684321715042,-9.500950970212966
T0050,F07,2023,10632,-0.003226296679329574,-7.744924739228317
T0050,F08,2023,11732,-0.002846031141950894,-9.201564789946163
T0051,F01,2020,7185,-0.0016484005800640178,-1.5160172353490813
T0051,F02,2020,7292,-0.001195720941783416,-1.1323057553405809
T0051,F03,2021,6026,-0.0008430759065610101,-0.48854189365868
T0051,F04,2021,6318,-0.0030494519758755643,-2.4276443147660194
T0051,F05,2022,5895,-0.007139215619035795,-4.933014242485042
T0051,F06,2022,6951,-0.004739832450594676,-4.902755138037131
T0051,F07,2023,6599,-0.002834758586728548,-2.7027450679062603
T0051,F08,2023,7459,-0.0027263390555801684,-3.912688132949153
T0052,F01,2020,4101,0.0002589785193764055,0.1296124597153489
T0052,F02,2020,4833,0.0005634184059621863,0.2886388899869264
T0052,F03,2021,3387,0.0030489854860478783,0.890626872014481
T0052,F04,2021,3797,-0.0025601120688143585,-1.2186214716415198
T0052,F05,2022,4019,-0.010386352777193455,-4.110924661709996
T0052,F06,2022,4578,-0.006249153039996706,-3.658164168968322
T0052,F07,2023,4404,-0.002218200929325855,-1.2305520253493385
T0052,F08,2023,5018,-0.0009074406285952303,-0.7938592480072307
T0053,F01,2020,15521,-0.003033336959782326,-21.872477806825508
T0053,F02,2020,15690,-0.002975805842110602,-20.750116946035376
T0053,F03,2021,14123,-0.0028159501990446395,-12.52087517816173
T0053,F04,2021,14495,-0.0031440967530464215,-19.389687183074944
T0053,F05,2022,13633,-0.003509706006623854,-19.18128310078318
T0053,F06,2022,14882,-0.0033745476534266998,-26.12574888152481
T0053,F07,2023,14777,-0.003113838322027978,-25.22477411049791
T0053,F08,2023,15700,-0.0030219505984617253,-30.633836390913498
T0054,F01,2020,11363,-0.0027148182935003602,-6.541394902010863
