trial_id,mfe,mae,time_to_mfe,time_to_mae,reason
T0001,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0055,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0056,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0057,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0058,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0059,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0060,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0061,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0062,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0063,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0064,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0065,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0066,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0067,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0068,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0069,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0070,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0071,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0072,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0073,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0074,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0075,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0076,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0077,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0078,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0079,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0080,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0081,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0082,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0083,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0084,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0085,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0086,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0087,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0088,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0089,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0090,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0091,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0092,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0093,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0094,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0095,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0096,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0097,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0098,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0099,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0100,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0101,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0102,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0103,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0104,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0105,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0106,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0107,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0108,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0109,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0110,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0111,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0112,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0113,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0114,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0115,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0116,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0117,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0118,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0119,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0120,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0121,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0122,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0123,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0124,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0125,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0126,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0127,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0128,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0129,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0130,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0131,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0132,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0133,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0134,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0135,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0136,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0137,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0138,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0139,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0140,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0141,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0142,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0143,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0144,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0145,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0146,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0147,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0148,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0149,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0150,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0151,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0152,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0153,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0154,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0155,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0156,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0157,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0158,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0159,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0160,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0161,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0162,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0163,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0164,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0165,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0166,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0167,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0168,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0169,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0170,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0171,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0172,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0173,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0174,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0175,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0176,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0177,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0178,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0179,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0180,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0181,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0182,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0183,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0184,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0185,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0186,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0187,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0188,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0189,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0190,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0191,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0192,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0193,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0194,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0195,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0196,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0197,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0198,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0199,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0200,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0201,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0202,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0203,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0204,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0205,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0206,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0207,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0208,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0209,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0210,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0211,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0212,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0213,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0214,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0215,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0216,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0217,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0218,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0219,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0220,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0221,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0222,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0223,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0224,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0225,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0226,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0227,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0228,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0229,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0230,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0231,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0232,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0233,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0234,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0235,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0236,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0237,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0238,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0239,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0240,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0241,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0242,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0243,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0244,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0245,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0246,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0247,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0248,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0249,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0250,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0251,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0252,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0253,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0254,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0255,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0256,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0257,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0258,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0259,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0260,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0261,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0262,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0263,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0264,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0265,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0266,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0267,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0268,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0269,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0270,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0271,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0272,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0273,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0274,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0275,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0276,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0277,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0278,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0279,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0280,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0281,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0282,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0283,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0284,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0285,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0286,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0287,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0288,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0289,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0290,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0291,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0292,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0293,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0294,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0295,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0296,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0297,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0298,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0299,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0300,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0301,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0302,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0303,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0304,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0305,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0306,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0307,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0308,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0309,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0310,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0311,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0312,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0313,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0314,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0315,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0316,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0317,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0318,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0319,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0320,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0321,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0322,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0323,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0324,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0325,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0326,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0327,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0328,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0329,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0330,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0331,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0332,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0333,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0334,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0335,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0336,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0337,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0338,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0339,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0340,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0341,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0342,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0343,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0344,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0345,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0346,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0347,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0348,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0349,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0350,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0351,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0352,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0353,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0354,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0355,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0356,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0357,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0358,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0359,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0360,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0361,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0362,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0363,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0364,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0365,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0366,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0367,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0368,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0369,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0370,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0371,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0372,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0373,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0374,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0375,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
